from_stop_id,to_stop_id,transfer_type,min_transfer_time
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6480,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A89,A6490,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
A6416,A6417,1,0
